"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","persistence_cap","persistence_weight","q11_ngmmr","q88_ngmmr","persistence_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00312301768966438,0.00773470247561108,6.35597103331574,4.6820765423044,2.54470053469383,0.685152236694386,4.49351804352049,2.37810016379376,9.7225458656841,7.72274098151091,0.066975717855138,0.0417824187941406,0.0688134809759697,0.123179025740542,0.110527686134561,0.123531077804568,0.0775304882125849,0.016020627052459,0.110142092512324,0.155624089911431,0.100440049248804,0.162064785313675,0.282815808957817,0.130728996436,0.192399628816822,0.367338084113891,0.192725084161538,0.222814005761418,0.367338084113891,NA,NA,NA,NA,2.5,10,2.23559631473613,2.04490818491018,0.000207108560161743,0.200676925473474,0.202817951610538,0.2,5,2.09976984399343e-05,0.85,0,0.823719274650429,0.848407032431374,0,0,0,2,0.75,2,2,"high",TRUE,"2011-01",2011-01-01
2,0.00290202001373815,0.0104876932740913,6.63407220444246,4.57821963459839,2.81350155984581,0.895728634110804,4.62830803764595,2.50222354975143,10.1338894666695,7.47106636223839,0.0459998198980594,0.0315972397278663,0.0488397205185528,0.128901011844846,0.113374238569991,0.130461365512717,0.0711716647058156,0.0120028079167241,0.0982644438802599,0.179027188902014,0.106232163113447,0.184044212795764,0.275372115918388,0.113379890017154,0.188084188349941,0.374794874885846,0.196920961848142,0.248060893282175,0.374794874885846,NA,NA,NA,NA,2.5,10,2.31069448976154,2.11484855357209,0.000148341636685509,0.199990593764444,0.202744888175956,0.2,5,1.88360277462569e-05,0.85,0,0.792646680070872,0.85015915153021,0,0,0,2,0.75,2,2,"high",TRUE,"2011-02",2011-02-01
3,0.00274934611919226,0.0078844473339899,6.21053186594582,4.53190591862681,3.47063637960983,1.267580432245,4.0566919206981,2.32841730651772,9.33863223148106,7.38824921482434,0.0335272367788504,0.0315723795394635,0.0578446711087752,0.149247085176377,0.125601982026781,0.147213084106893,0.0628535802746739,0.0119634054584088,0.0992904270870674,0.17475066117347,0.11816488216701,0.18275120116918,0.27603101818552,0.112467057921072,0.182061874086581,0.364312181103031,0.212635724378159,0.23703957301478,0.364312181103031,NA,NA,NA,NA,2.5,10,2.37922278578408,2.10317037042951,0.000157473754905053,0.200260415139565,0.202233768389314,0.2,5,1.26438431550372e-05,0.85,0,0.808290891309396,0.86130155161026,0,0,0,2,0.75,2,2,"high",TRUE,"2011-03",2011-03-01
4,0.00312275231043283,0.0108832598592835,6.91334830110788,4.95842434496012,4.1013968952773,2.75083942553344,4.53660780605399,2.92284665589504,10.2947019052886,7.59261258297389,0.030163851097324,0.0193234240933994,0.0711470452081319,0.148849950702839,0.114883049997261,0.147543032617385,0.057860404915623,0.00726034882342973,0.0979630993741124,0.178597667752321,0.110832620777457,0.182066231533218,0.266555778757823,0.0887942023126764,0.187319635988283,0.368404144606299,0.199356735472341,0.246689659722734,0.368404144606299,NA,NA,NA,NA,2.5,10,2.40715047938816,2.27567602909057,5.03212439245749e-05,0.200444094242643,0.203592863360755,0.2,5,3.27647170635114e-05,0.85,0,0.690571049082917,0.803660620184094,0,0,0,2,0.75,2,2,"high",TRUE,"2011-04",2011-04-01
5,0.00293427788018688,0.0129917815317718,7.6257854923966,4.74988998434732,4.38231127456782,1.41996803819154,5.57214003041493,2.63541275246318,11.144703517922,7.66307085866221,0.0269858622648177,0.0154054394311256,0.0465201405711868,0.128351111479299,0.0904100150130469,0.12715280742924,0.0484081090997246,0.00527438760971656,0.0898836642119761,0.158024100058178,0.0858984427464254,0.167941999633832,0.247192208119801,0.0757310608220692,0.164930962479921,0.36658247465909,0.16566467352136,0.226743265439153,0.36658247465909,NA,NA,NA,NA,2.5,10,2.32364256962011,2.18749627759674,9.76585765158967e-05,0.200037711452404,0.201169691467346,0.2,5,3.42400070606298e-06,0.85,0,0.827890415279419,0.874758842854068,0,0,0,2,0.75,2,2,"high",TRUE,"2011-05",2011-05-01
6,0.00300622789856104,0.0179872964686475,8.78290145037648,4.68228326733765,5.51534757070028,0.65225587398787,5.95513204847605,2.51884200218916,12.866056782117,7.68123212965384,0.0503773263836258,0.0474963806305675,0.0596831278746308,0.129630484419962,0.0864484064335124,0.130575115722351,0.06536498626884,0.0132751434119284,0.102294701256668,0.161598281409623,0.0712816212556653,0.168234369780659,0.273005533617507,0.13683490125054,0.184964087182147,0.369424574083451,0.151102488957856,0.223229967256357,0.369424574083451,NA,NA,NA,NA,2.5,10,2.08137219563916,2.08201626413762,0.000174710403445471,0.200325908748834,0.202452538768429,0.2,5,1.53029073080391e-05,0.85,0,0.815091866573287,0.868139555749463,0,0,0,2,0.75,2,2,"high",TRUE,"2011-06",2011-06-01
7,0.00308276556443205,0.014615331478386,7.63669848341247,4.6670332469292,3.32620499021982,0.839560508721701,5.78205276394633,2.86178155282813,11.4219839510323,7.51325112583862,0.0398099181041194,0.0255929881830211,0.0499914864767487,0.112078959413286,0.0785524145328387,0.111964902331952,0.0493349123288688,0.00849281607913916,0.0945517573894976,0.153457198937639,0.071077260730604,0.159913868109138,0.247663624633296,0.09771871773856,0.169151465309421,0.372996103050749,0.147021011839113,0.229837372172544,0.372996103050749,NA,NA,NA,NA,2.5,10,2.17416930597087,2.12270464573353,0.000142351784351063,0.20014186803396,0.202424760178687,0.2,5,1.47489711580137e-05,0.85,0,0.842919903360253,0.839300246943374,0,0,0,2,0.75,2,2,"high",TRUE,"2011-07",2011-07-01
8,0.0030860924538061,0.0122016596488207,7.39048145210826,4.70068110501278,3.06283987715918,0.865431070695034,5.59225670840723,2.72268901204893,11.0996993236766,7.62411976287204,0.0471731837385971,0.0357196683660506,0.0621514598112608,0.104864324524001,0.0767358900636269,0.105989487189696,0.0568665284719593,0.0119437207282197,0.104308306754031,0.138609698434634,0.0663664768897881,0.1454690916929,0.261941613490965,0.117851056329012,0.183752907214241,0.361607851911802,0.14248599920538,0.206175791450588,0.361607851911802,NA,NA,NA,NA,2.5,10,2.08985498612533,2.07209926358289,0.000183099040226305,0.20009835721446,0.202369323019433,0.2,5,1.40584142801237e-05,0.85,0,0.828401877473373,0.855466084865216,0,0,0,2,0.75,2,2,"high",TRUE,"2011-08",2011-08-01
9,0.00315864486843524,0.00947868149557251,7.19932381858538,4.78356054562809,2.8518287685534,1.42403034983397,5.50016514104357,2.35605752114694,10.8215547141182,7.81463274894399,0.059493421307365,0.0453626413582243,0.0903345547874326,0.0920890223638392,0.072489721034596,0.0957544640894053,0.0696125183927301,0.0156727085460939,0.11804468741802,0.118276483986414,0.0604222025844576,0.124609561233326,0.278875199407572,0.13643337876648,0.197477049251286,0.345666260095333,0.135180353353011,0.183598997938858,0.345666260095333,NA,NA,NA,NA,2.5,10,1.99576601823441,2.02692832873772,0.00022379680615089,0.200239251820829,0.202507782794313,0.2,5,1.58655399430543e-05,0.85,0,0.815885432295501,0.844400208470571,0,0,0,2,0.75,2,2,"high",TRUE,"2011-09",2011-09-01
10,0.00310289004407558,0.0085292895557114,7.23041720204834,4.8300924769618,3.36750725285071,1.76340405889385,5.72150216388215,2.59304267118585,10.6189032690631,7.75602448671321,0.0534025458217502,0.0517317521761599,0.0995969370690349,0.074200188033755,0.0545590669797952,0.0733497571835474,0.0661633498502533,0.0188700979163178,0.118931893945513,0.0926968456740339,0.0445370440776926,0.101905886239716,0.281824584162114,0.150786631089104,0.199909686858389,0.322063853625417,0.108571920904458,0.167960987464951,0.322063853625417,NA,NA,NA,NA,2.5,10,1.82806792579184,2.01575952849987,0.00023448883423867,0.200026785209734,0.20230809881026,0.2,5,1.33200939134617e-05,0.85,0,0.79428644815147,0.818651056972298,0,0,0,2,0.75,2,2,"high",TRUE,"2011-10",2011-10-01
