"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","persistence_cap","persistence_weight","q11_ngmmr","q88_ngmmr","persistence_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00397745735371678,0.00773470247561108,6.35597103331574,5.43817585442659,2.54470053469383,1.46949637281674,4.49351804352049,3.16197832912669,9.7225458656841,8.75007104699252,0.066975717855138,0.0417824187941406,0.037417214056705,0.123179025740542,0.110527686134561,0.121797172619094,0.0775304882125849,0.016020627052459,0.0796810709206507,0.155624089911431,0.100440049248804,0.17099141139324,0.282815808957817,0.130728996436,0.160261955220218,0.367338084113891,0.192725084161538,0.238982731886507,0.367338084113891,NA,NA,NA,NA,2.5,10,2.23559631473613,2.14070548729933,0.000129092546856809,0.120788453727539,0.185625157408418,0.2,5,0,0.9,5,0.796424352499807,0.902232940247974,1.24650553775523e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-01",2011-01-01
2,0.00340788285100724,0.0104876932740913,6.63407220444246,5.05803374419802,2.81350155984581,1.31534705971629,4.62830803764595,3.01344990847298,10.1338894666695,8.12035084426513,0.0459998198980594,0.0315972397278663,0.0378767649341319,0.128901011844846,0.113374238569991,0.131772978748622,0.0711716647058156,0.0120028079167241,0.0839326811995661,0.179027188902014,0.106232163113447,0.188245815536448,0.275372115918388,0.113379890017154,0.161002808783046,0.374794874885846,0.196920961848142,0.260428330612348,0.374794874885846,NA,NA,NA,NA,2.5,10,2.31069448976154,2.15131617629178,0.000121580408915783,0.147094423301468,0.200868175281285,0.2,5,1.8843207975869e-06,0.9,5,0.837094421953277,0.901152219788928,3.3190261049957e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-02",2011-02-01
3,0.003506752520593,0.0078844473339899,6.21053186594582,5.06748142123016,3.47063637960983,1.5788473685391,4.0566919206981,3.44546500787655,9.33863223148106,7.91669853726248,0.0335272367788504,0.0315723795394635,0.0412292550040178,0.149247085176377,0.125601982026781,0.140665732324594,0.0628535802746739,0.0119634054584088,0.0814086573503663,0.17475066117347,0.11816488216701,0.191534520034515,0.27603101818552,0.112467057921072,0.152717734000367,0.364312181103031,0.212635724378159,0.26507776858491,0.364312181103031,NA,NA,NA,NA,2.5,10,2.37922278578408,2.25830115122891,5.84183334972697e-05,0.1303551216606,0.19670164023886,0.2,5,0,0.9,5,0.846702313012428,0.901965916694474,9.66207112402667e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-03",2011-03-01
4,0.00371813784012743,0.0108832598592835,6.91334830110788,5.34994051068961,4.1013968952773,2.92078374520052,4.53660780605399,3.71695474324183,10.2947019052886,7.96987202872279,0.030163851097324,0.0193234240933994,0.0342458186932585,0.148849950702839,0.114883049997261,0.14223712613633,0.057860404915623,0.00726034882342973,0.0718750034796196,0.178597667752321,0.110832620777457,0.193907045148194,0.266555778757823,0.0887942023126764,0.137363809055501,0.368404144606299,0.199356735472341,0.270802750829788,0.368404144606299,NA,NA,NA,NA,2.5,10,2.40715047938816,2.32156662426061,3.18384695777533e-05,0.132709424353232,0.200171089064134,0.2,5,7.3178669665753e-08,0.9,5,0.87366393104466,0.901720672001929,7.40178034555915e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-04",2011-04-01
5,0.00404252685964898,0.0129917815317718,7.6257854923966,5.61250875098918,4.38231127456782,3.04511040968168,5.57214003041493,4.13228443088525,11.144703517922,8.2554401103092,0.0269858622648177,0.0154054394311256,0.0227468939477195,0.128351111479299,0.0904100150130469,0.123927431634635,0.0484081090997246,0.00527438760971656,0.055473727288502,0.158024100058178,0.0858984427464254,0.172641435977059,0.247192208119801,0.0757310608220692,0.116550782066947,0.36658247465909,0.16566467352136,0.252127408001022,0.36658247465909,NA,NA,NA,NA,2.5,10,2.32364256962011,2.37718716071811,1.508299349248e-05,0.116658987219117,0.190715870072172,0.2,5,0,0.9,5,0.875397947492902,0.901435974098518,5.1550540290375e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-05",2011-05-01
6,0.00387115512339329,0.0179872964686475,8.78290145037648,5.36349465023726,5.51534757070028,1.5564524969265,5.95513204847605,3.70480551645579,12.866056782117,8.375744522096,0.0503773263836258,0.0474963806305675,0.0351057092819718,0.129630484419962,0.0864484064335124,0.125184472951751,0.06536498626884,0.0132751434119284,0.0765588082095581,0.161598281409623,0.0712816212556653,0.177452721888632,0.273005533617507,0.13683490125054,0.152734075026693,0.369424574083451,0.151102488957856,0.248944992056016,0.369424574083451,NA,NA,NA,NA,2.5,10,2.08137219563916,2.23095009654079,7.23878505514129e-05,0.122733544055745,0.196028486027606,0.2,5,0,0.9,5,0.814723033033099,0.902066378076023,1.06747958826753e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-06",2011-06-01
7,0.00405600446152867,0.014615331478386,7.63669848341247,5.48398043718857,3.32620499021982,2.59089726501399,5.78205276394633,3.73896746837277,11.4219839510323,8.33843498139753,0.0398099181041194,0.0255929881830211,0.0147211579115264,0.112078959413286,0.0785524145328387,0.111040293251927,0.0493349123288688,0.00849281607913916,0.0552957327127477,0.153457198937639,0.071077260730604,0.168586095342,0.247663624633296,0.09771871773856,0.120136802074139,0.372996103050749,0.147021011839113,0.245131298308305,0.372996103050749,NA,NA,NA,NA,2.5,10,2.17416930597087,2.14396157481953,0.000126763360204988,0.169050900252348,0.200721563403769,0.2,5,1.30163436414546e-06,0.9,5,0.891013962885019,0.899489607349009,0,0,0,2,0.75,2,2,"high",TRUE,"2011-07",2011-07-01
8,0.00424734448562879,0.0122016596488207,7.39048145210826,5.77353461088722,3.06283987715918,2.41668871151467,5.59225670840723,3.76862781829197,11.0996993236766,8.94193299841658,0.0471731837385971,0.0357196683660506,0.0153810114516344,0.104864324524001,0.0767358900636269,0.104988163007559,0.0568665284719593,0.0119437207282197,0.051700042253331,0.138609698434634,0.0663664768897881,0.153344462365995,0.261941613490965,0.117851056329012,0.122072882993885,0.361607851911802,0.14248599920538,0.221892804846973,0.361607851911802,NA,NA,NA,NA,2.5,10,2.08985498612533,2.23426718284016,7.06139301157045e-05,0.1109562296488,0.187634414807663,0.2,5,0,0.9,5,0.83956617702644,0.901547940872035,5.99030235829482e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-08",2011-08-01
9,0.00467493992001045,0.00947868149557251,7.19932381858538,6.06352933846951,2.8518287685534,2.63718371264677,5.50016514104357,3.39374432226719,10.8215547141182,9.58263667558525,0.059493421307365,0.0453626413582243,0.0226204352419453,0.0920890223638392,0.072489721034596,0.095519009311128,0.0696125183927301,0.0156727085460939,0.0556017988967281,0.118276483986414,0.0604222025844576,0.131659878756594,0.278875199407572,0.13643337876648,0.13224497349837,0.345666260095333,0.135180353353011,0.196322847888377,0.345666260095333,NA,NA,NA,NA,2.5,10,1.99576601823441,2.0932613309399,0.000165436344908781,0.0865752032838581,0.148912437206468,0.2,5,0,0.9,5,0.771575601377535,0.901763134634606,7.77160934936594e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-09",2011-09-01
10,0.00521135134779414,0.0085292895557114,7.23041720204834,6.5603359183586,3.36750725285071,3.68791690284235,5.72150216388215,3.84134516457285,10.6189032690631,10.0377964877487,0.0534025458217502,0.0517317521761599,0.0172746602196086,0.074200188033755,0.0545590669797952,0.079063109825288,0.0661633498502533,0.0188700979163178,0.0425290009717244,0.0926968456740339,0.0445370440776926,0.1047248789163,0.281824584162114,0.150786631089104,0.116861319405409,0.322063853625417,0.108571920904458,0.165429359477333,0.322063853625417,NA,NA,NA,NA,2.5,10,1.82806792579184,2.0414790534232,0.000210241458449684,0.0590753930092921,0.118450176979868,0.2,5,0,0.9,5,0.718204423120308,0.901450415409746,5.25926215206921e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-10",2011-10-01
11,0.00480606302109974,0.00942887414742091,7.1219671979738,6.11584161162636,3.04557795813156,2.74770169880901,5.57872604557234,4.27515598142239,10.5721105232797,9.29428494099314,0.0534372837029057,0.04206562579467,0.0221850629301447,0.0968026891287207,0.0697622142294763,0.0941758235002069,0.0567413064038418,0.0148387219691888,0.0528346098125685,0.113912984319272,0.059528841202626,0.129611333184942,0.266174839488986,0.131732622127396,0.126153463655553,0.345635033252189,0.132873407350026,0.196553003138074,0.345635033252189,NA,NA,NA,NA,2.5,10,1.99658097271842,2.15990433061915,0.000115665064331605,0.0803100571467307,0.148645683484976,0.2,5,0,0.9,5,0.766424707464253,0.901559312354197,6.07863754487792e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-11",2011-11-01
