"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00423349781878933,0.0133854521619995,6.35597103331574,6.13276167911535,2.54470053469383,8.42872964900546,4.49351804352049,3.05434593546376,9.7225458656841,5.69734893164966,0.066975717855138,0.0417824187941406,0.300221043966352,0.123179025740542,0.110527686134561,0.142762208524263,0.0775304882125849,0.016020627052459,0.116321508738226,0.155624089911431,0.100440049248804,0.15182523109623,0.282815808957817,0.130728996436,0.157908604723612,0.367338084113891,0.192725084161538,0.35243910146569,0.367338084113891,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-01",2011-01-01
2,0.00483513518495437,0.016337180902255,6.63407220444246,6.43523361685719,2.81350155984581,9.27463455659562,4.62830803764595,3.04734694309624,10.1338894666695,5.37880335768014,0.0459998198980594,0.0315972397278663,0.293792370316951,0.128901011844846,0.113374238569991,0.151930749690695,0.0711716647058156,0.0120028079167241,0.112081664527935,0.179027188902014,0.106232163113447,0.167819139281436,0.275372115918388,0.113379890017154,0.149762924834668,0.374794874885846,0.196920961848142,0.376714489954917,0.374794874885846,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-02",2011-02-01
3,0.00414215238895466,0.0122754417235042,6.21053186594582,6.16717571930636,3.47063637960983,8.3588658163899,4.0566919206981,2.99415058666763,9.33863223148106,5.93856831116322,0.0335272367788504,0.0315723795394635,0.254208716848247,0.149247085176377,0.125601982026781,0.164617583907001,0.0628535802746739,0.0119634054584088,0.0888674233135134,0.17475066117347,0.11816488216701,0.166873817628906,0.27603101818552,0.112467057921072,0.132716747904759,0.364312181103031,0.212635724378159,0.368149785319489,0.364312181103031,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-03",2011-03-01
4,0.00476728281861411,0.0163139731720614,6.91334830110788,6.59998182513009,4.1013968952773,9.15060921515465,4.53660780605399,3.69551089125033,10.2947019052886,5.76964734800314,0.030163851097324,0.0193234240933994,0.252170287144056,0.148849950702839,0.114883049997261,0.166124633170057,0.057860404915623,0.00726034882342973,0.0873391477930717,0.178597667752321,0.110832620777457,0.170128201350262,0.266555778757823,0.0887942023126764,0.130445969366914,0.368404144606299,0.199356735472341,0.372912563698139,0.368404144606299,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-04",2011-04-01
5,0.00571630188748855,0.0206032336936608,7.6257854923966,7.09741415480616,4.38231127456782,9.92947734818636,5.57214003041493,4.83428482442086,11.144703517922,5.39954006214942,0.0269858622648177,0.0154054394311256,0.263967274257007,0.128351111479299,0.0904100150130469,0.152366612435198,0.0484081090997246,0.00527438760971656,0.09278704636509,0.158024100058178,0.0858984427464254,0.153119767181178,0.247192208119801,0.0757310608220692,0.139321159401524,0.36658247465909,0.16566467352136,0.351017816377615,0.36658247465909,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-05",2011-05-01
6,0.00454572066365524,0.027380336471697,8.78290145037648,6.37657367349002,5.51534757070028,8.79124576621123,5.95513204847605,3.62983453470122,12.866056782117,5.61430089762755,0.0503773263836258,0.0474963806305675,0.284513296399178,0.129630484419962,0.0864484064335124,0.149357576280111,0.06536498626884,0.0132751434119284,0.106149077341656,0.161598281409623,0.0712816212556653,0.156465284326274,0.273005533617507,0.13683490125054,0.148750626046407,0.369424574083451,0.151102488957856,0.35796325511141,0.369424574083451,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-06",2011-06-01
7,0.00595319665785042,0.0240399093517709,7.63669848341247,6.98727552052068,3.32620499021982,9.9854077505719,5.78205276394633,4.73367111764035,11.4219839510323,4.93457671982499,0.0398099181041194,0.0255929881830211,0.294706051721168,0.112078959413286,0.0785524145328387,0.141633152943812,0.0493349123288688,0.00849281607913916,0.112063861130439,0.153457198937639,0.071077260730604,0.14822949033511,0.247663624633296,0.09771871773856,0.156001326025425,0.372996103050749,0.147021011839113,0.347059298606091,0.372996103050749,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-07",2011-07-01
8,0.0121004716860543,0.0211404004462649,7.39048145210826,9.49406181991189,3.06283987715918,5.15445719053028,5.59225670840723,4.59392952040867,11.0996993236766,14.9244434453495,0.0471731837385971,0.0357196683660506,0.0635919212886548,0.104864324524001,0.0767358900636269,0.137578187056884,0.0568665284719593,0.0119437207282197,0.0298005408033404,0.138609698434634,0.0663664768897881,0.0997621829636067,0.261941613490965,0.117851056329012,0.0870657028927578,0.361607851911802,0.14248599920538,0.323896637147971,0.361607851911802,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-08",2011-08-01
9,0.0110169150811403,0.0178156381573124,7.19932381858538,9.22168141297826,2.8518287685534,4.86017715233277,5.50016514104357,4.23079602224214,10.8215547141182,14.6149672361428,0.059493421307365,0.0453626413582243,0.0743694198252078,0.0920890223638392,0.072489721034596,0.121365460885213,0.0696125183927301,0.0156727085460939,0.0356497041405536,0.118276483986414,0.0604222025844576,0.0841883227612645,0.278875199407572,0.13643337876648,0.0955485309759973,0.345666260095333,0.135180353353011,0.305467482167636,0.345666260095333,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-09",2011-09-01
10,0.00985359862345656,0.0170782898120183,7.23041720204834,8.7474602716131,3.36750725285071,5.12700658730571,5.72150216388215,3.68669417307718,10.6189032690631,13.7723009384152,0.0534025458217502,0.0517317521761599,0.0679624455394505,0.074200188033755,0.0545590669797952,0.102551210246204,0.0661633498502533,0.0188700979163178,0.0271305584747026,0.0926968456740339,0.0445370440776926,0.0628999309092376,0.281824584162114,0.150786631089104,0.0893857815890918,0.322063853625417,0.108571920904458,0.278378429306505,0.322063853625417,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-10",2011-10-01
11,0.00611870107764342,0.0178566208560501,7.1219671979738,6.91906007353127,3.04557795813156,9.35526402965179,5.57872604557234,4.77852906941259,10.5721105232797,5.76757069932269,0.0534372837029057,0.04206562579467,0.29629352929715,0.0968026891287207,0.0697622142294763,0.124249442654116,0.0567413064038418,0.0148387219691888,0.114323827886402,0.113912984319272,0.059528841202626,0.116693080645703,0.266174839488986,0.131732622127396,0.167572709966981,0.345635033252189,0.132873407350026,0.294108066624676,0.345635033252189,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-11",2011-11-01
12,0.00366198408715968,0.0198911515973742,6.68669894418526,5.82725999006403,2.79293034911483,7.68108497376712,4.65455224312121,3.33194194109827,10.2308607551639,5.63648591786784,0.0710725955839657,0.0451625437287228,0.278636703161987,0.141988215703617,0.0985234682334073,0.155372096527021,0.0667183105149306,0.016676353734927,0.104694468988556,0.161584700834917,0.086128240584525,0.158974056336352,0.280713743901642,0.135752898047426,0.148438149857103,0.371823753572135,0.175187000756862,0.359698835429599,0.371823753572135,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-12",2011-12-01
13,0.00370639074650199,0.0193575288956335,6.53687994201253,5.85684595093496,2.33856625867501,7.82845754028384,4.69398048711362,3.13408358167208,10.0344433412741,5.6392114805189,0.0668280969236945,0.048193581872935,0.278395774438997,0.13962704123588,0.0951096696144113,0.152907570433887,0.0655611112550222,0.0181547737875736,0.104274795522119,0.154789188013373,0.0827248538163552,0.153639765694787,0.278856599856879,0.141471822140666,0.149879979332376,0.368403104042827,0.170729949387677,0.351793237450325,0.368403104042827,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2012-01",2012-01-01
14,0.0030875158699629,0.0257813018874939,6.68919364077633,5.3002975850771,2.38485942291201,7.08734564438415,4.58429510536719,2.9200641048916,10.3697935664729,5.05195217826485,0.065460457312122,0.0405485385320149,0.259654459697713,0.162688636434131,0.104069952925404,0.175643388877852,0.0549993675804952,0.0166810636025116,0.094520244845669,0.193429814843441,0.0982048780311583,0.18580816204471,0.263317100339563,0.131929035054726,0.135232713981378,0.393577632621393,0.185693763150377,0.397509309157088,0.393577632621393,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2012-02",2012-02-01
15,0.00381906007638673,0.0203289849535445,6.51502364630559,5.9272601016819,2.54617497436765,7.89436126581989,4.53593708651838,3.58046792878173,10.013933646815,5.50059510913667,0.0694861252710472,0.0502513362445235,0.279738609470722,0.139603408594105,0.0931805935343669,0.153115599440768,0.0599230311805945,0.0191400309035339,0.105392716914763,0.155704525983647,0.0807063453916154,0.154310007388432,0.27619362579348,0.145156780740142,0.150710256326387,0.370559818289081,0.168154822522736,0.35277920608478,0.370559818289081,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2012-03",2012-03-01
16,0.00474272850783962,0.0215834919588371,6.69552425582648,6.489042077806,2.45971907250648,9.27081213652316,4.86798455342249,3.47135506267082,10.2343853578547,5.32209898637513,0.0498814353184025,0.047102623683427,0.292170591739686,0.128291595487348,0.0903947423765538,0.148206243772141,0.0605749737092235,0.0177994793612031,0.111615956785299,0.162377327558104,0.078880270570029,0.155963910933367,0.273554010314601,0.140405716089603,0.153424014617817,0.371507073055458,0.164366558565153,0.35809131945954,0.371507073055458,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2012-04",2012-04-01
17,0.00425092896580295,0.019318076138813,6.31669561823406,6.16384008922012,1.66108572428737,8.66193215695721,4.62133659215246,3.29961384457203,9.77680791050196,5.2973817798428,0.0570142017855568,0.0515495031667132,0.292460322669345,0.131679354555869,0.0987484495572942,0.150017902060903,0.0625694421858776,0.020012755364116,0.111579933820754,0.164614552301414,0.0863528154715046,0.159208384107438,0.272141717922016,0.147030922464528,0.152705778315531,0.376637063942347,0.176366204865617,0.36398550612231,0.376637063942347,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2012-05",2012-05-01
18,0.0059266313417847,0.00905748096914609,4.91675718874441,6.84804873679221,2.27332527252106,9.81812511577683,3.95115145825594,3.46028999071398,7.19332316238111,5.68490342007328,0.106823255559567,0.107952213917289,0.367134838307357,0.0867524143124605,0.110124622932705,0.115966617382516,0.100271451686638,0.0494605508342238,0.173746635699037,0.124292646307582,0.0892238476415062,0.122735814966812,0.300210085296355,0.21342443357044,0.20926479280719,0.351958837442837,0.196573689937522,0.310986604274336,0.351958837442837,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2012-06",2012-06-01
