"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00436861452473552,0.0133854521619995,6.35597103331574,5.32561393524755,2.54470053469383,3.00040690094447,4.49351804352049,3.30723901371731,9.7225458656841,8.07132082727602,0.066975717855138,0.0417824187941406,0.144814643763348,0.123179025740542,0.110527686134561,0.115959351652204,0.0775304882125849,0.016020627052459,0.0874673368358916,0.155624089911431,0.100440049248804,0.179314025105373,0.282815808957817,0.130728996436,0.139681811191095,0.367338084113891,0.192725084161538,0.302218075603099,0.367338084113891,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-01",2011-01-01
2,0.0030195196729034,0.016337180902255,6.63407220444246,4.03188854527157,2.81350155984581,2.50931736972821,4.62830803764595,3.08437338314744,10.1338894666695,5.74093571604735,0.0459998198980594,0.0315972397278663,0.118936995056776,0.128901011844846,0.113374238569991,0.124567862941976,0.0711716647058156,0.0120028079167241,0.127203109602364,0.179027188902014,0.106232163113447,0.20150224883011,0.275372115918388,0.113379890017154,0.195051638440197,0.374794874885846,0.196920961848142,0.310886953196508,0.374794874885846,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-02",2011-02-01
3,0.00328537310939189,0.0122754417235042,6.21053186594582,4.38137518289733,3.47063637960983,3.00780698824855,4.0566919206981,3.35972124786691,9.33863223148106,6.10366412395052,0.0335272367788504,0.0315723795394635,0.114024178285942,0.149247085176377,0.125601982026781,0.14179132378764,0.0628535802746739,0.0119634054584088,0.122039945347373,0.17475066117347,0.11816488216701,0.196696541786699,0.27603101818552,0.112467057921072,0.192877820548051,0.364312181103031,0.212635724378159,0.302291043398045,0.364312181103031,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-03",2011-03-01
4,0.00341357731335998,0.0163139731720614,6.91334830110788,4.56705316680473,4.1013968952773,3.30227934806324,4.53660780605399,3.45165726846986,10.2947019052886,6.30515163129623,0.030163851097324,0.0193234240933994,0.104812310572565,0.148849950702839,0.114883049997261,0.14107610705262,0.057860404915623,0.00726034882342973,0.118276488826305,0.178597667752321,0.110832620777457,0.200240984827695,0.266555778757823,0.0887942023126764,0.184568142374121,0.368404144606299,0.199356735472341,0.307923429145188,0.368404144606299,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-04",2011-04-01
5,0.00388967870652153,0.0206032336936608,7.6257854923966,4.67527629903645,4.38231127456782,2.89956903465976,5.57214003041493,3.38324385380146,11.144703517922,6.76171471270067,0.0269858622648177,0.0154054394311256,0.0965878251335026,0.128351111479299,0.0904100150130469,0.121114350332329,0.0484081090997246,0.00527438760971656,0.101284904060473,0.158024100058178,0.0858984427464254,0.181952882498899,0.247192208119801,0.0757310608220692,0.161299650564631,0.36658247465909,0.16566467352136,0.295249797301166,0.36658247465909,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-05",2011-05-01
6,0.00370918628656313,0.027380336471697,8.78290145037648,4.33140170544589,5.51534757070028,2.19495423827983,5.95513204847605,3.47813193994306,12.866056782117,6.2743841372699,0.0503773263836258,0.0474963806305675,0.115999095835889,0.129630484419962,0.0864484064335124,0.123032253457909,0.06536498626884,0.0132751434119284,0.119290345372623,0.161598281409623,0.0712816212556653,0.186315858876887,0.273005533617507,0.13683490125054,0.1888892633667,0.369424574083451,0.151102488957856,0.294663375484288,0.369424574083451,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-06",2011-06-01
7,0.00394421468623301,0.0240399093517709,7.63669848341247,4.40782443446524,3.32620499021982,2.03465328642848,5.78205276394633,3.37246114669941,11.4219839510323,6.54014071356534,0.0398099181041194,0.0255929881830211,0.100481761059727,0.112078959413286,0.0785524145328387,0.10704306207548,0.0493349123288688,0.00849281607913916,0.0965633580935947,0.153457198937639,0.071077260730604,0.178226666546607,0.247663624633296,0.09771871773856,0.158176067947277,0.372996103050749,0.147021011839113,0.29228093680478,0.372996103050749,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-07",2011-07-01
8,0.00425945163365647,0.0211404004462649,7.39048145210826,4.44832325597432,3.06283987715918,1.94091987934539,5.59225670840723,3.5025142158571,11.0996993236766,6.58239800973831,0.0471731837385971,0.0357196683660506,0.108678335370626,0.104864324524001,0.0767358900636269,0.0996686742578753,0.0568665284719593,0.0119437207282197,0.104487341113285,0.138609698434634,0.0663664768897881,0.165450159361735,0.261941613490965,0.117851056329012,0.171317364031729,0.361607851911802,0.14248599920538,0.275729018621256,0.361607851911802,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-08",2011-08-01
9,0.00466091979879352,0.0178156381573124,7.19932381858538,6.62092245727185,2.8518287685534,5.62834754418536,5.50016514104357,2.51083720849901,10.8215547141182,9.67094840178043,0.059493421307365,0.0453626413582243,0.151172305778786,0.0920890223638392,0.072489721034596,0.0841985374302079,0.0696125183927301,0.0156727085460939,0.0332115853054963,0.118276483986414,0.0604222025844576,0.132117933625589,0.278875199407572,0.13643337876648,0.0648981408114052,0.345666260095333,0.135180353353011,0.347748553337759,0.345666260095333,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-09",2011-09-01
10,0.00472276345438943,0.0170782898120183,7.23041720204834,6.59675319318217,3.36750725285071,5.12200301222622,5.72150216388215,2.42896598412553,10.6189032690631,9.92051749990816,0.0534025458217502,0.0517317521761599,0.140178712156923,0.074200188033755,0.0545590669797952,0.0608465771835823,0.0661633498502533,0.0188700979163178,0.0268821525406568,0.0926968456740339,0.0445370440776926,0.106057363425401,0.281824584162114,0.150786631089104,0.0594877786767904,0.322063853625417,0.108571920904458,0.32346647825181,0.322063853625417,NA,NA,NA,NA,0.2,0,1.5,2,"high",TRUE,"2011-10",2011-10-01
