"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00248829565552999,0.00773470247561108,6.35597103331574,4.166423487108,2.54470053469383,2.45291257887208,4.49351804352049,3.44517821385287,9.7225458656841,5.84732596807979,0.066975717855138,0.0417824187941406,0.120158014594579,0.123179025740542,0.110527686134561,0.117267900316836,0.0775304882125849,0.016020627052459,0.156984870710252,0.155624089911431,0.100440049248804,0.170153317305124,0.282815808957817,0.130728996436,0.242035086178554,0.367338084113891,0.192725084161538,0.256630857893838,0.367338084113891,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-01",2011-01-01
2,0.00216806471617703,0.0104876932740913,6.63407220444246,4.01463063834703,2.81350155984581,2.89066425484086,4.62830803764595,3.21588618932096,10.1338894666695,5.44554071421599,0.0459998198980594,0.0315972397278663,0.108975509463901,0.128901011844846,0.113374238569991,0.123683018186179,0.0711716647058156,0.0120028079167241,0.148189451062373,0.179027188902014,0.106232163113447,0.191866940171194,0.275372115918388,0.113379890017154,0.225757943214015,0.374794874885846,0.196920961848142,0.283713656523174,0.374794874885846,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-02",2011-02-01
3,0.00255003852302638,0.0078844473339899,6.21053186594582,4.35080777177958,3.47063637960983,3.42410446488093,4.0566919206981,3.28150769793804,9.33863223148106,5.85626166106746,0.0335272367788504,0.0315723795394635,0.0969308324403987,0.149247085176377,0.125601982026781,0.144574830779743,0.0628535802746739,0.0119634054584088,0.144248175162834,0.17475066117347,0.11816488216701,0.187902184570054,0.27603101818552,0.112467057921072,0.225469621381377,0.364312181103031,0.212635724378159,0.266781614668924,0.364312181103031,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-03",2011-03-01
4,0.00279951728897591,0.0108832598592835,6.91334830110788,4.60097822440844,4.1013968952773,3.85233030929046,4.53660780605399,3.32722743730315,10.2947019052886,6.13156673559222,0.030163851097324,0.0193234240933994,0.087239514742089,0.148849950702839,0.114883049997261,0.143721210158831,0.057860404915623,0.00726034882342973,0.137879048023097,0.178597667752321,0.110832620777457,0.192086500409008,0.266555778757823,0.0887942023126764,0.213322691159498,0.368404144606299,0.199356735472341,0.275249970774384,0.368404144606299,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-04",2011-04-01
5,0.00299070196782534,0.0129917815317718,7.6257854923966,4.69533561685156,4.38231127456782,3.36627183995126,5.57214003041493,3.38615803890463,11.144703517922,6.58336367670335,0.0269858622648177,0.0154054394311256,0.0853671005431339,0.128351111479299,0.0904100150130469,0.121111754744987,0.0484081090997246,0.00527438760971656,0.122933832541163,0.158024100058178,0.0858984427464254,0.172650881849643,0.247192208119801,0.0757310608220692,0.191714403050074,0.36658247465909,0.16566467352136,0.266873661882666,0.36658247465909,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-05",2011-05-01
6,0.00256809007369336,0.0179872964686475,8.78290145037648,4.27397813101258,5.51534757070028,2.58277289694815,5.95513204847605,3.48525448956547,12.866056782117,5.99857920668512,0.0503773263836258,0.0474963806305675,0.104387724412393,0.129630484419962,0.0864484064335124,0.123477193009116,0.06536498626884,0.0132751434119284,0.145311133148211,0.161598281409623,0.0712816212556653,0.176099903668725,0.273005533617507,0.13683490125054,0.226035273928082,0.369424574083451,0.151102488957856,0.261338468748264,0.369424574083451,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-06",2011-06-01
7,0.00259351050679401,0.014615331478386,7.63669848341247,4.34912656152805,3.32620499021982,2.29967832790259,5.78205276394633,3.43984764455415,11.4219839510323,6.29473059908022,0.0398099181041194,0.0255929881830211,0.0929137560305828,0.112078959413286,0.0785524145328387,0.105830961552681,0.0493349123288688,0.00849281607913916,0.12399083036607,0.153457198937639,0.071077260730604,0.167757481896332,0.247663624633296,0.09771871773856,0.195461917272967,0.372996103050749,0.147021011839113,0.262171491344996,0.372996103050749,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-07",2011-07-01
8,0.00263508598068993,0.0122016596488207,7.39048145210826,4.36486803898451,3.06283987715918,2.08463000337878,5.59225670840723,3.50844087001801,11.0996993236766,6.36406940595761,0.0471731837385971,0.0357196683660506,0.101202832071889,0.104864324524001,0.0767358900636269,0.0988097754658481,0.0568665284719593,0.0119437207282197,0.133926512036598,0.138609698434634,0.0663664768897881,0.153123145192697,0.261941613490965,0.117851056329012,0.212151910710366,0.361607851911802,0.14248599920538,0.241582824645499,0.361607851911802,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-08",2011-08-01
9,0.00268051616927351,0.00947868149557251,7.19932381858538,4.37877020573555,2.8518287685534,1.97908617486763,5.50016514104357,3.45323083945051,10.8215547141182,6.45595076079642,0.059493421307365,0.0453626413582243,0.113577294660332,0.0920890223638392,0.072489721034596,0.08626476220263,0.0696125183927301,0.0156727085460939,0.148593952766089,0.118276483986414,0.0604222025844576,0.132962314892445,0.278875199407572,0.13643337876648,0.234156520945525,0.345666260095333,0.135180353353011,0.216348034175371,0.345666260095333,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-09",2011-09-01
10,0.00277172893759918,0.0085292895557114,7.23041720204834,4.55130144840732,3.36750725285071,1.84714539502571,5.72150216388215,3.4568212851864,10.6189032690631,6.83969846665343,0.0534025458217502,0.0517317521761599,0.108075807510587,0.074200188033755,0.0545590669797952,0.0683462687971842,0.0661633498502533,0.0188700979163178,0.146026804420472,0.0926968456740339,0.0445370440776926,0.107020588790641,0.281824584162114,0.150786631089104,0.233393180330654,0.322063853625417,0.108571920904458,0.183432369301442,0.322063853625417,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2011-10",2011-10-01
