"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00295561238169919,0.00773470247561108,6.35597103331574,4.50111068358166,2.54470053469383,1.66356615484745,4.49351804352049,3.1048717176587,9.7225458656841,6.9550205911189,0.066975717855138,0.0417824187941406,0.102365528020334,0.123179025740542,0.110527686134561,0.118062823149544,0.0775304882125849,0.016020627052459,0.139081723214468,0.155624089911431,0.100440049248804,0.16435013950527,0.282815808957817,0.130728996436,0.223075007196754,0.367338084113891,0.192725084161538,0.245751283038383,0.367338084113891,NA,NA,NA,NA,2.5,10,2.23559631473613,2.29740011671269,4.10467127080299e-05,0.200492793478668,0.202569925908212,0.2,5,1.71184114657927e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-01",2011-01-01
2,0.00285191418586252,0.0104876932740913,6.63407220444246,4.49002514740762,2.81350155984581,1.78296851070919,4.62830803764595,2.96162402374362,10.1338894666695,6.96640394356103,0.0459998198980594,0.0315972397278663,0.0808003041372393,0.128901011844846,0.113374238569991,0.12806185511953,0.0711716647058156,0.0120028079167241,0.132258541040251,0.179027188902014,0.106232163113447,0.183574115095022,0.275372115918388,0.113379890017154,0.213112191111185,0.374794874885846,0.196920961848142,0.260588884644493,0.374794874885846,NA,NA,NA,NA,2.5,10,2.31069448976154,2.33942045307418,2.57857908909009e-05,0.200661392587943,0.203025551882423,0.2,5,2.39785108715435e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-02",2011-02-01
3,0.00301109019491194,0.0078844473339899,6.21053186594582,4.62080471706642,3.47063637960983,2.68778973841445,4.0566919206981,2.93816325137185,9.33863223148106,6.94251335829841,0.0335272367788504,0.0315723795394635,0.0815206516733025,0.149247085176377,0.125601982026781,0.143092260958287,0.0628535802746739,0.0119634054584088,0.11876448748467,0.17475066117347,0.11816488216701,0.185098440180593,0.27603101818552,0.112467057921072,0.194887628980471,0.364312181103031,0.212635724378159,0.264761117943284,0.364312181103031,NA,NA,NA,NA,2.5,10,2.37922278578408,2.20432515436431,8.74236143416877e-05,0.200350651280161,0.202341359114192,0.2,5,1.40122970547205e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-03",2011-03-01
4,0.00322842592782014,0.0108832598592835,6.91334830110788,4.83916390484323,4.1013968952773,3.20120068930294,4.53660780605399,3.01161611134883,10.2947019052886,7.13687637825423,0.030163851097324,0.0193234240933994,0.0751207884866297,0.148849950702839,0.114883049997261,0.141387791768367,0.057860404915623,0.00726034882342973,0.113735137249223,0.178597667752321,0.110832620777457,0.188988635585282,0.266555778757823,0.0887942023126764,0.182739213323038,0.368404144606299,0.199356735472341,0.275063244371639,0.368404144606299,NA,NA,NA,NA,2.5,10,2.40715047938816,2.29587375801894,4.16675226653109e-05,0.200483910445711,0.202344986511248,0.2,5,1.43328276435079e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-04",2011-04-01
5,0.00319240754193819,0.0129917815317718,7.6257854923966,4.74642327326736,4.38231127456782,2.89586709569823,5.57214003041493,3.28486231347632,11.144703517922,6.95767454057729,0.0269858622648177,0.0154054394311256,0.0745960507068575,0.128351111479299,0.0904100150130469,0.115271271352662,0.0484081090997246,0.00527438760971656,0.115747712977114,0.158024100058178,0.0858984427464254,0.171817470722765,0.247192208119801,0.0757310608220692,0.18144156578939,0.36658247465909,0.16566467352136,0.263573076646346,0.36658247465909,NA,NA,NA,NA,2.5,10,2.32364256962011,2.38069420308037,1.42338731786275e-05,0.20044013556391,0.200207750980957,0.2,5,5.92199461766557e-07,0,0,2,0.75,2,2,"high",TRUE,"2011-05",2011-05-01
6,0.00301466227988192,0.0179872964686475,8.78290145037648,4.57268864045776,5.51534757070028,1.73832937854566,5.95513204847605,3.21943006051499,12.866056782117,7.0243807744777,0.0503773263836258,0.0474963806305675,0.0876814037934646,0.129630484419962,0.0864484064335124,0.123654620202179,0.06536498626884,0.0132751434119284,0.127919606494452,0.161598281409623,0.0712816212556653,0.17118203677012,0.273005533617507,0.13683490125054,0.206397597014269,0.369424574083451,0.151102488957856,0.252271830975014,0.369424574083451,NA,NA,NA,NA,2.5,10,2.08137219563916,2.27813116538851,4.9225779771861e-05,0.200515258117134,0.202201911677716,0.2,5,1.27847649093345e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-06",2011-06-01
7,0.00302504154393238,0.014615331478386,7.63669848341247,4.62056680873331,3.32620499021982,1.43087275191051,5.78205276394633,3.54482233888335,11.4219839510323,7.0310561550522,0.0398099181041194,0.0255929881830211,0.0664346662484533,0.112078959413286,0.0785524145328387,0.106411034981017,0.0493349123288688,0.00849281607913916,0.122815873951309,0.153457198937639,0.071077260730604,0.164902613854,0.247663624633296,0.09771871773856,0.201915050271614,0.372996103050749,0.147021011839113,0.23816072077326,0.372996103050749,NA,NA,NA,NA,2.5,10,2.17416930597087,2.39175366437996,1.1717269175167e-05,0.200192805594077,0.201069640742932,0.2,5,2.95326329012076e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-07",2011-07-01
8,0.00289244036743375,0.0122016596488207,7.39048145210826,4.52203594387616,3.06283987715918,1.5649186013195,5.59225670840723,3.32966926900351,11.0996993236766,6.91453249058979,0.0471731837385971,0.0357196683660506,0.0870264421544238,0.104864324524001,0.0767358900636269,0.0984531187519361,0.0568665284719593,0.0119437207282197,0.127876566401144,0.138609698434634,0.0663664768897881,0.150292507512027,0.261941613490965,0.117851056329012,0.2054464092519,0.361607851911802,0.14248599920538,0.232911714623382,0.361607851911802,NA,NA,NA,NA,2.5,10,2.08985498612533,2.31032772817247,3.59755707002158e-05,0.200541214126384,0.200957972551095,0.2,5,3.02656034812537e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-08",2011-08-01
9,0.00284081388583064,0.00947868149557251,7.19932381858538,4.50385309004456,2.8518287685534,1.64854576140727,5.50016514104357,3.13796026044231,10.8215547141182,6.94907045917241,0.059493421307365,0.0453626413582243,0.106425564166233,0.0920890223638392,0.072489721034596,0.0854542025148422,0.0696125183927301,0.0156727085460939,0.129840830688296,0.118276483986414,0.0604222025844576,0.13127231765311,0.278875199407572,0.13643337876648,0.212073945979367,0.345666260095333,0.135180353353011,0.216853277591827,0.345666260095333,NA,NA,NA,NA,2.5,10,1.99576601823441,2.27055185754181,5.26464500775125e-05,0.200055085470028,0.201117072414916,0.2,5,3.12721297293713e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-09",2011-09-01
10,0.0029440367291669,0.0085292895557114,7.23041720204834,4.66265123003148,3.36750725285071,1.55896411837399,5.72150216388215,2.98194120368048,10.6189032690631,7.34156706801466,0.0534025458217502,0.0517317521761599,0.0992076145405959,0.074200188033755,0.0545590669797952,0.0664392572041318,0.0661633498502533,0.0188700979163178,0.116033297449696,0.0926968456740339,0.0445370440776926,0.110391724054684,0.281824584162114,0.150786631089104,0.197072768222239,0.322063853625417,0.108571920904458,0.1930981436256,0.322063853625417,NA,NA,NA,NA,2.5,10,1.82806792579184,2.23094848345467,7.23887185553407e-05,0.193427045395779,0.198797279145954,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2011-10",2011-10-01
