"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","persistence_cap","persistence_weight","q11_ngmmr","q88_ngmmr","persistence_penalty_ngmmr","theta_shrink_weight","theta_shrink_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.0029470241875803,0.00466571708725265,4.13125364925247,3.00448216539749,2.54470053469383,2.48128164639778,4.49351804352049,2.76045787948975,4.95323782234109,3.64744471286231,0.066975717855138,0.0417824187941406,0.039620071501913,0.123179025740542,0.110527686134561,0.115447533874953,0.0775304882125849,0.016020627052459,0.0416186502758874,0.155624089911431,0.100440049248804,0.159483921534455,0.0763528043447973,0.130728996436,0.103610889173285,0.157685674196225,0.192725084161538,0.227310682081124,NA,NA,NA,NA,2.5,10,2.23559631473613,2.37311751710706,1.60991644650779e-05,0.057173521055855,0.126758053261002,0.2,5,0,0.85,0,0.429833506341362,0.62851849234993,0,0.05,0.00188434716429363,0,0,2,0,0,2,"high",TRUE,"2011-01","2011-01-01"
2,0.00257403402845913,0.00721124951918734,4.25117359745604,3.38976643812659,2.81350155984581,1.82299443931175,4.62830803764595,2.71960348705088,4.98802611746662,4.87360212395385,0.0459998198980594,0.0315972397278663,0.034398441291981,0.128901011844846,0.113374238569991,0.112466090691487,0.0711716647058156,0.0120028079167241,0.0642670567048143,0.179027188902014,0.106232163113447,0.185359702869279,0.0660649663054594,0.113379890017154,0.134679868631269,0.163047224884006,0.196920961848142,0.262122226872463,NA,NA,NA,NA,2.5,10,2.31069448976154,2.53355162447052,1.12571150461067e-06,0.0962840254871873,0.160400528625354,0.2,5,0,0.85,0,0.597934706502134,0.67122569425708,0,0.05,0.00139815859585531,0,0,2,0,0,2,"high",TRUE,"2011-02","2011-02-01"
3,0.00307870958154535,0.00535468557186745,3.96562242126668,2.30163075121479,3.47063637960983,2.14971103707802,4.0566919206981,2.41896733445674,4.32162207339218,2.32805752435563,0.0335272367788504,0.0315723795394635,0.0150365141554337,0.149247085176377,0.125601982026781,0.145716441605231,0.0628535802746739,0.0119634054584088,0.0201243190892112,0.17475066117347,0.11816488216701,0.177171874178896,0.065835289030833,0.112467057921072,0.073047098183126,0.177798661399285,0.212635724378159,0.247287655676079,NA,NA,NA,NA,2.5,10,2.37922278578408,2.38099723815329,1.41616573271447e-05,0.0367406720872061,0.144415482191084,0.2,5,0,0.85,0,0.288616409451394,0.666670580959621,0,0.05,0.00228040766726926,0,0,2,0,0,2,"high",TRUE,"2011-03","2011-03-01"
4,0.00298833393656525,0.00783579764934317,4.26328796999057,2.60430661289257,4.1013968952773,1.99952577933839,4.53660780605399,2.51188557454609,4.13818874227103,3.16852746871734,0.030163851097324,0.0193234240933994,0.0228208222989675,0.148849950702839,0.114883049997261,0.142039471580509,0.057860404915623,0.00726034882342973,0.0279438405264771,0.178597667752321,0.110832620777457,0.178613309103049,0.0507579544474239,0.0887942023126764,0.0765937384834236,0.167427007041358,0.199356735472341,0.25612071954221,NA,NA,NA,NA,2.5,10,2.40715047938816,2.49343160188037,4.31438538579276e-08,0.0487486630617286,0.144686017844407,0.2,5,0,0.85,0,0.427252320182456,0.63497651855829,0,0.05,0.00210697857449013,0,0,2,0,0,2,"high",TRUE,"2011-04","2011-04-01"
5,0.00264451156961946,0.00937253742361655,4.90703281193398,3.52189891046083,4.38231127456782,1.63761743182849,5.57214003041493,2.42501837858702,4.68865827571526,5.35245839002996,0.0269858622648177,0.0154054394311256,0.0210017015446049,0.128351111479299,0.0904100150130469,0.116776569797151,0.0484081090997246,0.00527438760971656,0.0377964264904063,0.158024100058178,0.0858984427464254,0.159951577557425,0.0401088420788992,0.0757310608220692,0.0818537760969118,0.13717311228057,0.16566467352136,0.242252149918028,NA,NA,NA,NA,2.5,10,2.32364256962011,2.52020648534046,4.08302049814036e-07,0.0703822208645198,0.117444498320774,0.2,5,0,0.85,0,0.617203385097392,0.558305871574855,0,0.05,0.00175366693773135,0,0,2,0,0,2,"high",TRUE,"2011-05","2011-05-01"
6,0.00284770162575852,0.0136510332426654,5.72411923860229,5.12909838792878,5.51534757070028,1.97671121191442,5.95513204847605,2.56058159884099,5.69332649975342,8.2739945298223,0.0503773263836258,0.0474963806305675,0.0301801613338052,0.129630484419962,0.0864484064335124,0.125375230056939,0.06536498626884,0.0132751434119284,0.0289432582232192,0.161598281409623,0.0712816212556653,0.164082752726485,0.0575356159266074,0.13683490125054,0.0818192738881913,0.124227765163441,0.151102488957856,0.230522213524053,NA,NA,NA,NA,2.5,10,2.08137219563916,2.41531005422447,7.1723869154628e-06,0.0441316814999437,0.144262752176647,0.2,5,0,0.85,0,0.395962654694972,0.692830870716801,0,0.05,0.00206441582693697,0,0,2,0,0,2,"high",TRUE,"2011-06","2011-06-01"
7,0.00230890934452062,0.010388955657352,5.38402417511425,4.44320012454594,3.32620499021982,1.731649617449,5.78205276394633,2.53824210761417,6.51669971324607,7.05583436921661,0.0398099181041194,0.0255929881830211,0.0278068385153311,0.112078959413286,0.0785524145328387,0.0970529167918669,0.0493349123288688,0.00849281607913916,0.0521849236199235,0.153457198937639,0.071077260730604,0.15807212253423,0.0502502194318212,0.09771871773856,0.106715875522909,0.119171602432846,0.147021011839113,0.235174251439422,NA,NA,NA,NA,2.5,10,2.17416930597087,2.58786997612311,7.72113270387629e-06,0.0852879823263805,0.133776029350182,0.2,5,0,0.85,0,0.665091082143798,0.639447689077516,0,0.05,0.00127956753062348,0,0,2,0,0,2,"high",TRUE,"2011-07","2011-07-01"
8,0.00237532888821949,0.00823893710206461,4.80082512477342,3.9971874606468,3.06283987715918,2.22119131691566,5.59225670840723,2.5003246056923,5.33755022741003,6.06194760670892,0.0471731837385971,0.0357196683660506,0.0267813796860905,0.104864324524001,0.0767358900636269,0.0887301412384248,0.0568665284719593,0.0119437207282197,0.042757464156835,0.138609698434634,0.0663664768897881,0.143045779474339,0.0598788769306181,0.117851056329012,0.103821508285477,0.11449025574369,0.14248599920538,0.212587485323424,NA,NA,NA,NA,2.5,10,2.08985498612533,2.55420987178029,2.93871019843586e-06,0.0628875710948396,0.12351220140628,0.2,5,0,0.85,0,0.534566977179846,0.642228198033,0,0.05,0.00126253482984556,0,0,2,0,0,2,"high",TRUE,"2011-08","2011-08-01"
9,0.00234861721092443,0.00577198149313183,4.5517329285107,3.832171539371,2.8518287685534,2.59435546916204,5.50016514104357,2.48619720048801,4.8754562918322,5.58074899107725,0.059493421307365,0.0453626413582243,0.0311906743039243,0.0920890223638392,0.072489721034596,0.0766483672359152,0.0696125183927301,0.0156727085460939,0.0409650944172761,0.118276483986414,0.0604222025844576,0.123999193241923,0.0696924725073813,0.13643337876648,0.108245860937462,0.107294133032501,0.135180353353011,0.187510463016969,NA,NA,NA,NA,2.5,10,1.99576601823441,2.45551299586237,1.97909353714119e-06,0.059770763313686,0.107164749357038,0.2,5,0,0.85,0,0.469414217658577,0.645585778552647,0,0.05,0.0012163015590697,0,0,2,0,0,2,"high",TRUE,"2011-09","2011-09-01"
10,0.00219174583723695,0.00499741071254846,4.7456028239332,3.11069234788245,3.36750725285071,2.57014522011073,5.72150216388215,2.34189702008419,4.84629202362569,4.11571288410478,0.0534025458217502,0.0517317521761599,0.0228294477941915,0.074200188033755,0.0545590669797952,0.0624224847478026,0.0661633498502533,0.0188700979163178,0.0240956922158321,0.0926968456740339,0.0445370440776926,0.0990233808324201,0.07906008117225,0.150786631089104,0.0822118805322428,0.0832350688322072,0.108571920904458,0.150989518411348,NA,NA,NA,NA,2.5,10,1.82806792579184,2.37236982959025,1.62894603988229e-05,0.0425735615482262,0.0904508817651366,0.2,5,0,0.85,0,0.367899200664828,0.654778450549455,0,0.05,0.00124758151863897,0,0,2,0,0,2,"high",TRUE,"2011-10","2011-10-01"
