"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.0013019268931789,0.0734966509285988,7.36875875164828,3.48729511740013,3.65326513938082,4.01291503052406,8.52842310342382,2.66852604020589,8.76444349689991,3.64131342211373,0.0703088650292496,0.0502860685234634,0.132883721151816,0.162867622841218,0.0804338028097559,0.160958068998397,0.070864577031878,0.0112357044378858,0.117792120578347,0.27159861445829,0.0411141069868273,0.277768760000283,0.183018872274135,0.088383665923552,0.139464632154545,0.42107763017297,0.22715352346524,0.415988608032882,0.42107763017297,0.179160506498296,0.723703458208794,0,0,0.2,0,1.5,2,"high",TRUE,"2011-01",2011-01-01
2,0.00060531570797507,0.0957484134325487,7.88020759366634,2.35175102914999,4.03016303380825,2.30828862341602,10.117829006752,2.55836057375855,8.22680601867356,2.17227841562036,0.066779062123754,0.038000188077326,0.103217569241478,0.216849021066603,0.114885917252711,0.215718992585021,0.0744568235964275,0.00894782904774021,0.110284723184809,0.30924893162019,0.0440550897510727,0.313512211462611,0.18996087322411,0.130948705031671,0.169041485169234,0.42682983751584,0.227853351302053,0.42383715229319,0.42682983751584,0.168039565954196,0.741921158262382,0,0,0.2,0,1.5,2,"high",TRUE,"2011-02",2011-02-01
3,0.000781549242057645,0.10083600158008,7.83143050222267,2.62095107598874,4.712458366273,2.77963563383599,9.64860135386955,2.52152493545329,8.2880117756722,2.55415179094274,0.0523842063714981,0.0335213060823049,0.0904669733420681,0.240742370469539,0.10542164304482,0.23918842520158,0.0644828006495234,0.00875333910943,0.102535645291461,0.303170236374048,0.0430698317984424,0.308768537813292,0.193232924920838,0.123737702260993,0.165947577813371,0.412150025216689,0.214707896786193,0.402831711309961,0.412150025216689,0.151095329081881,0.711648199444575,0,0,0.2,0,1.5,2,"high",TRUE,"2011-03",2011-03-01
4,0.00316875219498737,0.0956332285927941,7.92827339443415,5.30608104330917,4.10456952900627,5.43504342002205,9.48066292657483,3.55763553743035,9.04666217479684,6.5013091389183,0.0449811099759628,0.032371298894578,0.116252488499455,0.247097894311529,0.138727515120356,0.248307901921539,0.0632591894460192,0.0100442307535841,0.020304178468669,0.305496127007492,0.0472262582149086,0.305110909455716,0.202707373118516,0.14374371355172,0.0600099984885333,0.405014332578516,0.18158527974662,0.406855324974091,0.405014332578516,0.15881683004816,0.684020735718086,0,0,0.2,0,1.5,2,"high",TRUE,"2011-04",2011-04-01
5,0.00356165277090719,0.104716395337237,7.66329825665824,5.66700666175599,6.02662865447213,5.92910068177177,9.00670296767253,2.7619386162548,7.66403739713722,7.31863058902513,0.0198278009604669,0.0221551062342541,0.0835824397048567,0.335803526081697,0.158635143961642,0.334106953177463,0.0514134861642626,0.00602388188694633,0.0158958704967714,0.308018290752856,0.0607291798412875,0.311533774087927,0.216307858997055,0.119158391460075,0.0884152311336427,0.370303799891006,0.208032652545595,0.36521226790704,0.370303799891006,0.142604918481713,0.62693124356809,0,0,0.2,0,1.5,2,"high",TRUE,"2011-05",2011-05-01
6,0.0036860442967862,0.0650660935262937,6.83119708630949,5.95661140803611,2.58754984296711,5.17182705919707,8.24084341973995,4.42610233358634,8.08633702225546,7.75277249772082,0.0376440348787708,0.0397977400458207,1.33334522681402e-10,0.175915624620748,0.131466515925,0.177903794618667,0.0555756566936222,0.0113182299894271,1.67806285457838e-49,0.264426969089354,0.0430841731608029,0.268559386557916,0.18598737225815,0.150572063470104,3.63982741449331e-11,0.402990075691192,0.192600524055429,0.417641690026713,0.402990075691192,0.161123570336088,0.663731615737202,0,0,0.2,0,1.5,2,"high",TRUE,"2011-06",2011-06-01
7,0.00285118543436306,0.0719279890544832,7.1585763603369,5.22616736591999,2.77345392982059,4.59009893442263,8.52601324440268,3.88500472131934,8.56450220244912,6.76581156235969,0.035309387942026,0.0395384177929074,1.97745291340812e-09,0.164633167005319,0.131891203638763,0.16835838688352,0.0450572282424869,0.0112168016206431,3.83349877072672e-40,0.275668722700238,0.0433361718799444,0.278805111871712,0.156795539279682,0.150061797295017,4.97500216669546e-10,0.42875952658027,0.193058364768094,0.438740822459542,0.42875952658027,0.174759020657319,0.697366736075452,0,0,0.2,0,1.5,2,"high",TRUE,"2011-07",2011-07-01
8,0.00130569571038852,0.0749854038342846,7.08165775540029,3.2233182745415,3.0152706939187,2.12150063241355,8.55970639718242,2.47836504572379,8.25161794621471,4.53059420647922,0.0317772568008606,0.0353692249228987,0.0669563682997532,0.191675529422331,0.138016095743296,0.191379490572444,0.0435111599819328,0.00986862406851147,0.0285300157182873,0.284608620882727,0.0470102587549683,0.282481278731926,0.162333885145378,0.142838076405696,0.076134543890772,0.419678708206119,0.196682269031176,0.388792819128477,0.419678708206119,0.165760100819591,0.679433692803141,0,0,0.2,0,1.5,2,"high",TRUE,"2011-08",2011-08-01
9,0.00377565691640229,0.0534525420594094,6.75445326187438,6.01827708830278,2.7315282070662,5.57102037188903,7.68760331008646,4.34110407965788,8.38495233148558,7.66665016290334,0.0502374218596775,0.0439920697779086,1.35385511862947e-08,0.130757341098488,0.122838239624536,0.137211662957343,0.0587610288340469,0.0140932337006956,1.54875462972629e-32,0.232954799467836,0.0377915404175104,0.236145267356255,0.181148081017292,0.162806211018363,3.14641724681453e-09,0.398365980067711,0.171537627311733,0.407003749609264,0.398365980067711,0.157508372072983,0.667876405104666,0,0,0.2,0,1.5,2,"high",TRUE,"2011-09",2011-09-01
10,0.00347554570744746,0.0330825208892615,5.9272092512219,5.72204216234601,3.06654414486652,6.35208497335959,6.50158190604017,3.22819883740276,7.32947257651923,6.88876246363649,0.0656513531646834,0.0684875018107733,0.13705478645922,0.104310869401068,0.0941887027468808,0.10438546855472,0.0679630007037636,0.0240777099579896,0.0123093478968431,0.169516746801658,0.0238069205990534,0.174693479289047,0.20346301643231,0.198963398756253,0.0299069391462135,0.353790716125276,0.154152857786331,0.335163371668463,0.353790716125276,0.104736043419485,0.599214104161329,0,0,0.2,0,1.5,2,"high",TRUE,"2011-10",2011-10-01
