"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","persistence_cap","persistence_weight","q11_ngmmr","q88_ngmmr","persistence_penalty_ngmmr","theta_shrink_weight","theta_shrink_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00551487017370979,0.0661035672281612,7.48618682067208,7.42291040894767,3.65326513938082,2.15541124089983,8.52842310342382,5.25430276492708,9.0580700224929,11.5345265032802,0.0703088650292496,0.0502860685234634,0.0876560135201668,0.162867622841218,0.0804338028097559,0.159414795777289,0.070864577031878,0.0112357044378858,0.118086986396428,0.27159861445829,0.0411141069868273,0.265809430900887,0.0469230397179632,0.088383665923552,0.133093979309753,0.11472504672076,0.22715352346524,0.419864631625662,0.179160506498296,0.723703458208794,0,0,2.5,10,2.5696870870611,2.76340022744709,6.93796798191764e-05,0.20133821451348,0.202092593738324,0.2,5,1.54244165944013e-05,0.85,0,0.913456087049419,0.712743257641132,0,0.05,0.00335490653855283,0,0,2,0,0,2,"high",TRUE,"2011-01","2011-01-01"
2,0.00494772262126293,0.089343090827389,8.41192610219415,7.47951137851935,4.03016303380825,2.99163543703895,10.117829006752,3.57290197078558,9.67826556555355,12.087752491808,0.066779062123754,0.038000188077326,0.0717356533417338,0.216849021066603,0.114885917252711,0.214885167461311,0.0744568235964275,0.00894782904774021,0.10956057401234,0.30924893162019,0.0440550897510727,0.301358822541106,0.0548948077051047,0.130948705031671,0.186495645556235,0.10608057682677,0.227853351302053,0.390499213448643,0.168039565954196,0.741921158262382,0,0,2.5,10,2.37383576856206,2.35137284131494,2.20900322987939e-05,0.200589496948543,0.203787686425626,0.2,5,3.67351877780378e-05,0.85,0,0.827427600090266,0.713223213759693,0,0.05,0.00303565007168071,0,0,2,0,0,2,"high",TRUE,"2011-02","2011-02-01"
3,0.00689780552678916,0.0945558763140888,8.2935969430006,6.62426167330239,4.712458366273,3.32557258632874,9.64860135386955,3.79197854797727,9.54193265639078,10.3055321945976,0.0523842063714981,0.0335213060823049,0.0129551507968143,0.240742370469539,0.10542164304482,0.237329341894166,0.0644828006495234,0.00875333910943,0.0394249740196715,0.303170236374048,0.0430698317984424,0.308215702274199,0.0578450591015813,0.123737702260993,0.0817826857335509,0.100573089882865,0.214707896786193,0.389899339752954,0.151095329081881,0.711648199444575,0,0,2.5,10,2.34406127300179,2.10421062604687,0.000156649228534207,0.168820647527441,0.20331214310128,0.2,5,2.7425729808389e-05,0.85,0,0.737035036839252,0.724899858600767,0,0.05,0.00478137700028858,0,0,2,0,0,2,"high",TRUE,"2011-03","2011-03-01"
4,0.0035935403937374,0.0865316996866354,7.70487289580034,6.34411412511553,4.10456952900627,3.20026712560634,9.48066292657483,1.73502836561384,8.44776529477111,10.3678020328684,0.0449811099759628,0.032371298894578,0.079909541480917,0.247097894311529,0.138727515120356,0.263451971793911,0.0632591894460192,0.0100442307535841,0.0927116020502277,0.305496127007492,0.0472262582149086,0.289723735476059,0.0747809989624871,0.14374371355172,0.15684699711958,0.0817118294596025,0.18158527974662,0.319680184859395,0.15881683004816,0.684020735718086,0,0,2.5,10,2.10779255719397,2.41927509676532,6.51651000224916e-06,0.138982924043114,0.20184208852869,0.2,5,8.48322536882388e-06,0.85,0,0.69259290368635,0.865706212350832,0,0.05,0.00237296820902753,0,0,2,0,0,2,"high",TRUE,"2011-04","2011-04-01"
5,0.00495187142699255,0.101523156371479,7.9019338422791,6.06797595739086,6.02662865447213,2.0313834962583,9.00670296767253,2.15737718301236,8.35946912527833,10.0836601211945,0.0198278009604669,0.0221551062342541,0.0355891632359272,0.335803526081697,0.158635143961642,0.301941877667361,0.0514134861642626,0.00602388188694633,0.055598522683568,0.308018290752856,0.0607291798412875,0.33331396758264,0.0583514356905625,0.119158391460075,0.104117595922302,0.0991326651592308,0.208032652545595,0.365854034656015,0.142604918481713,0.62693124356809,0,0,2.5,10,2.31171158852093,2.14958666959202,0.00012278950212761,0.199577729307588,0.167724726404064,0.2,5,0,0.85,0,0.820986358982418,0.816645531812548,0,0.05,0.00246170468610884,0,0,2,0,0,2,"high",TRUE,"2011-05","2011-05-01"
6,0.00631517236352176,0.0564340790030783,7.1857863128088,5.69779954237786,2.58754984296711,4.70505595507043,8.24084341973995,2.79388600190619,8.9610077748845,8.21288063613328,0.0376440348787708,0.0397977400458207,0.0108562012957574,0.175915624620748,0.131466515925,0.207463540231285,0.0555756566936222,0.0113182299894271,0.0298554382850437,0.264426969089354,0.0430841731608029,0.235318991737043,0.0721129184383994,0.150572063470104,0.124509540319191,0.0844974120902253,0.192600524055429,0.266996491670625,0.161123570336088,0.663731615737202,0,0,2.5,10,2.14159159250305,2.16450955653596,0.000112553837655699,0.13326730172473,0.201065472296834,0.2,5,2.83807803830409e-06,0.85,0,0.437624253754125,0.919113011899414,0,0.05,0.00275341351874761,0,0,2,0,0,2,"high",TRUE,"2011-06","2011-06-01"
7,0.00836415930346962,0.0609957266593572,7.86536822647157,6.57934686524474,2.77345392982059,6.09559230400937,8.52601324440268,4.34013809851364,10.2570514022987,8.59478744756085,0.035309387942026,0.0395384177929074,0.00102555533467799,0.164633167005319,0.131891203638763,0.211375115785112,0.0450572282424869,0.0112168016206431,0.0136933353519426,0.275668722700238,0.0433361718799444,0.242999298336741,0.0718010310549171,0.150061797295017,0.0650486808827003,0.0848180128661661,0.193058364768094,0.27433564982223,0.174759020657319,0.697366736075452,0,0,2.5,10,2.14536414344651,2.22157062174525,7.75229186753243e-05,0.134253423186552,0.201813896907127,0.2,5,8.22555497421521e-06,0.85,0,0.627561717729,0.910947108453935,0,0.05,0.00206017932278235,0,0,2,0,0,2,"high",TRUE,"2011-07","2011-07-01"
8,0.00592551756374691,0.0655281899337268,7.62882218314102,6.21565746745243,3.0152706939187,5.20160389199106,8.55970639718242,4.25493594430442,9.60397588201797,8.41082815891402,0.0317772568008606,0.0353692249228987,0.000553615166625112,0.191675529422331,0.138016095743296,0.227844684638485,0.0435111599819328,0.00986862406851147,0.0122321405152907,0.284608620882727,0.0470102587549683,0.260328662244305,0.0685096757611128,0.142838076405696,0.0485413093892861,0.0881344125088851,0.196682269031176,0.295265591172309,0.165760100819591,0.679433692803141,0,0,2.5,10,2.18518477856928,2.25281829564104,6.10987949698003e-05,0.169789165291029,0.201981193022013,0.2,5,9.81281447618576e-06,0.85,0,0.775301951585021,0.89769556853505,0,0.05,0.00161614363610443,0,0,2,0,0,2,"high",TRUE,"2011-08","2011-08-01"
9,0.00804130272869326,0.0428253783971441,7.03539118514253,5.70969834067054,2.7315282070662,4.42460899308285,7.68760331008646,3.54072853749077,9.05150243797642,8.10481598227229,0.0502374218596775,0.0439920697779086,0.0751249577786208,0.130757341098488,0.122838239624536,0.178816724856042,0.0587610288340469,0.0140932337006956,0.0783636323658566,0.232954799467836,0.0377915404175104,0.194731364142239,0.0841326642283547,0.162806211018363,0.148534624871013,0.0732070268445011,0.171537627311733,0.220424636995394,0.157508372072983,0.667876405104666,0,0,2.5,10,2.0022180340811,2.49495020885879,2.55003905698515e-08,0.106668877640822,0.200956320037922,0.2,5,2.28637003732921e-06,0.85,0,0.597649432954435,0.913493901158893,0,0.05,0.00244704352111281,0,0,2,0,0,2,"high",TRUE,"2011-09","2011-09-01"
10,0.00632996517066936,0.0247109447202884,6.2679701589688,4.55007701714382,3.06654414486652,2.64903979080819,6.50158190604017,4.22490786392111,8.13560627536794,6.1026505973973,0.0656513531646834,0.0684875018107733,0.0671861982068565,0.104310869401068,0.0941887027468808,0.139246707087533,0.0679630007037636,0.0240777099579896,0.0232719586397888,0.169516746801658,0.0238069205990534,0.142078514915618,0.102641253686725,0.198963398756253,0.0668165514548203,0.0587565406974161,0.154152857786331,0.176899767941604,0.104736043419485,0.599214104161329,0,0,2.5,10,1.80645158098352,2.84185899947645,0.00011686757552304,0.0792838787923562,0.200702819409743,0.2,5,1.23488780677908e-06,0.85,0,0.23254189635187,0.910857499765677,0,0.05,0.00289545706248667,0,0,2,0,0,2,"high",TRUE,"2011-10","2011-10-01"
