"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.000312296715983379,0.00460220604293438,6.35597103331574,3.82354465105226,2.54470053469383,1.18925520913377,4.49351804352049,1.88093386529991,9.7225458656841,6.23748674849793,0.066975717855138,0.0417824187941406,0.0813199742185618,0.123179025740542,0.110527686134561,0.123073895188776,0.0775304882125849,0.016020627052459,0.062321186658347,0.155624089911431,0.100440049248804,0.155542854041191,0.282815808957817,0.130728996436,0.162133471149141,0.367338084113891,0.192725084161538,0.290594365653734,0.367338084113891,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-01",2011-01-01
2,0.000349716377457827,0.00710914865150191,6.63407220444246,4.40761993464585,2.81350155984581,1.31622605745597,4.62830803764595,1.9371896722228,10.1338894666695,7.26609837563254,0.0459998198980594,0.0315972397278663,0.0637848210777252,0.128901011844846,0.113374238569991,0.128612736941707,0.0711716647058156,0.0120028079167241,0.061212755813778,0.179027188902014,0.106232163113447,0.179286757160277,0.275372115918388,0.113379890017154,0.138305159719732,0.374794874885846,0.196920961848142,0.291983125589246,0.374794874885846,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-02",2011-02-01
3,0.000466525807126014,0.00527041508576838,6.21053186594582,4.35790403946645,3.47063637960983,1.88808779139587,4.0566919206981,1.9967854452123,9.33863223148106,7.0300750514745,0.0335272367788504,0.0315723795394635,0.0556497887293797,0.149247085176377,0.125601982026781,0.149993310866155,0.0628535802746739,0.0119634054584088,0.0594116039952528,0.17475066117347,0.11816488216701,0.174223895372621,0.27603101818552,0.112467057921072,0.132192716837735,0.364312181103031,0.212635724378159,0.281986740270765,0.364312181103031,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-03",2011-03-01
4,0.000592669961953287,0.00772588146415917,6.91334830110788,4.60499473617425,4.1013968952773,2.191537419244,4.53660780605399,2.21415924901185,10.2947019052886,7.34251946682106,0.030163851097324,0.0193234240933994,0.0476839391566404,0.148849950702839,0.114883049997261,0.149642792891327,0.057860404915623,0.00726034882342973,0.0619984530115334,0.178597667752321,0.110832620777457,0.177897186093139,0.266555778757823,0.0887942023126764,0.121829292360726,0.368404144606299,0.199356735472341,0.284054953297133,0.368404144606299,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-04",2011-04-01
5,0.000411807861035883,0.00926342224930909,7.6257854923966,5.28524337730816,4.38231127456782,1.48970964490881,5.57214003041493,2.02050591987372,11.144703517922,8.80339216857685,0.0269858622648177,0.0154054394311256,0.0338936079418946,0.128351111479299,0.0904100150130469,0.126904287723432,0.0484081090997246,0.00527438760971656,0.045059669085446,0.158024100058178,0.0858984427464254,0.157985095646319,0.247192208119801,0.0757310608220692,0.09360548427047,0.36658247465909,0.16566467352136,0.25914495879725,0.36658247465909,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-05",2011-05-01
6,0.000366282406542913,0.0134834785151397,8.78290145037648,4.07300801655268,5.51534757070028,1.3973200933035,5.95513204847605,1.9387652918325,12.866056782117,6.63753482919247,0.0503773263836258,0.0474963806305675,0.064315523538376,0.129630484419962,0.0864484064335124,0.129644513772605,0.06536498626884,0.0132751434119284,0.0578604747705141,0.161598281409623,0.0712816212556653,0.161492254119477,0.273005533617507,0.13683490125054,0.141720368685641,0.369424574083451,0.151102488957856,0.285727333803165,0.369424574083451,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-06",2011-06-01
7,0.000272049271135698,0.0102621138890344,7.63669848341247,4.50489947213142,3.32620499021982,1.00557105325017,5.78205276394633,1.74906385913764,11.4219839510323,7.53737091004243,0.0398099181041194,0.0255929881830211,0.0481954514249151,0.112078959413286,0.0785524145328387,0.111795525072783,0.0493349123288688,0.00849281607913916,0.0412066057167651,0.153457198937639,0.071077260730604,0.153302781358362,0.247663624633296,0.09771871773856,0.110270903159415,0.372996103050749,0.147021011839113,0.274613017909983,0.372996103050749,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-07",2011-07-01
8,0.000257743840231352,0.00814097257336299,7.39048145210826,4.25429116872236,3.06283987715918,0.990844780699111,5.59225670840723,1.72352262083638,11.0996993236766,7.09539825808487,0.0471731837385971,0.0357196683660506,0.0571461537713374,0.104864324524001,0.0767358900636269,0.104713750315069,0.0568665284719593,0.0119437207282197,0.0436170156413422,0.138609698434634,0.0663664768897881,0.138423815167717,0.261941613490965,0.117851056329012,0.127818602799814,0.361607851911802,0.14248599920538,0.265221003137245,0.361607851911802,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-08",2011-08-01
9,0.0002251555861475,0.00571123458872901,7.19932381858538,4.03094376261557,2.8518287685534,0.98923106791616,5.50016514104357,1.62428607468989,10.8215547141182,6.71778531168913,0.059493421307365,0.0453626413582243,0.0704560853021027,0.0920890223638392,0.072489721034596,0.0919620189068515,0.0696125183927301,0.0156727085460939,0.0518150844980158,0.118276483986414,0.0604222025844576,0.118049617656656,0.278875199407572,0.13643337876648,0.153057714473071,0.345666260095333,0.135180353353011,0.248576238377298,0.345666260095333,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-09",2011-09-01
10,0.000180656783440022,0.00495316772203461,7.23041720204834,4.18282453400495,3.36750725285071,0.992652730641194,5.72150216388215,1.41391976723763,10.6189032690631,7.0358748350853,0.0534025458217502,0.0517317521761599,0.0637373879038365,0.074200188033755,0.0545590669797952,0.0738317401943738,0.0661633498502533,0.0188700979163178,0.0501710813298929,0.0926968456740339,0.0445370440776926,0.0926053648099438,0.281824584162114,0.150786631089104,0.151015430365208,0.322063853625417,0.108571920904458,0.212791527809292,0.322063853625417,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-10",2011-10-01
