"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.000519321498774668,0.0651630137189923,7.36875875164828,6.08918709416673,3.65326513938082,2.47072499664504,8.52842310342382,1.83542790252841,8.76444349689991,10.0876816369706,0.0703088650292496,0.0502860685234634,0.131603926638122,0.162867622841218,0.0804338028097559,0.161227274552575,0.070864577031878,0.0112357044378858,0.0463058401532337,0.27159861445829,0.0411141069868273,0.273528288991264,0.183018872274135,0.088383665923552,0.0621684715105004,0.42107763017297,0.22715352346524,0.472874780776524,0.42107763017297,0.179160506498296,0.723703458208794,0,0,0,0,1.5,2,"high",TRUE,"2011-01",2011-01-01
2,0.000507575593580287,0.0879989865132507,7.88020759366634,2.17516409846375,4.03016303380825,1.73242111663584,10.117829006752,2.30074610471719,8.22680601867356,2.42884766957497,0.066779062123754,0.038000188077326,0.085579091655901,0.216849021066603,0.114885917252711,0.217076479985514,0.0744568235964275,0.00894782904774021,0.0765531518394911,0.30924893162019,0.0440550897510727,0.310346343362237,0.18996087322411,0.130948705031671,0.151138030780904,0.42682983751584,0.227853351302053,0.438976562220129,0.42682983751584,0.168039565954196,0.741921158262382,0,0,0,0,1.5,2,"high",TRUE,"2011-02",2011-02-01
3,0.000638829685183632,0.0931424673211126,7.83143050222267,2.30317642278418,4.712458366273,2.44507003118647,9.64860135386955,2.18724141340703,8.2880117756722,2.26968553889691,0.0523842063714981,0.0335213060823049,0.0694516738231064,0.240742370469539,0.10542164304482,0.24251351062764,0.0644828006495234,0.00875333910943,0.0736090223038212,0.303170236374048,0.0430698317984424,0.303644888894783,0.193232924920838,0.123737702260993,0.146423679849362,0.412150025216689,0.214707896786193,0.417237797131725,0.412150025216689,0.151095329081881,0.711648199444575,0,0,0,0,1.5,2,"high",TRUE,"2011-03",2011-03-01
4,0.00251198852255092,0.0851578434630504,7.92827339443415,6.84947228744359,4.10456952900627,4.59092109808233,9.48066292657483,4.95728541235188,9.04666217479684,9.75164481823651,0.0449811099759628,0.032371298894578,1.77889272384112e-35,0.247097894311529,0.138727515120356,0.253243665048657,0.0632591894460192,0.0100442307535841,2.52145874755115e-231,0.305496127007492,0.0472262582149086,0.308301492187986,0.202707373118516,0.14374371355172,0.111400653416256,0.405014332578516,0.18158527974662,0.43793093072107,0.405014332578516,0.15881683004816,0.684020735718086,0,0,0,0,1.5,2,"high",TRUE,"2011-04",2011-04-01
5,0.000916341754994828,0.0999678719671451,7.66329825665824,3.43781384985698,6.02662865447213,2.98942755756214,9.00670296767253,2.59567417004443,7.66403739713722,4.44763877578402,0.0198278009604669,0.0221551062342541,0.0198836689706572,0.335803526081697,0.158635143961642,0.338229615093173,0.0514134861642626,0.00602388188694633,0.0752471286059546,0.308018290752856,0.0607291798412875,0.307521275406845,0.216307858997055,0.119158391460075,0.162860927998816,0.370303799891006,0.208032652545595,0.307560848127254,0.370303799891006,0.142604918481713,0.62693124356809,0,0,0,0,1.5,2,"high",TRUE,"2011-05",2011-05-01
6,0.000294091288000172,0.0555663906496591,6.83119708630949,3.21546503943151,2.58754984296711,1.59353068953572,8.24084341973995,1.60762671546403,8.08633702225546,5.08859927137645,0.0376440348787708,0.0397977400458207,0.0324680647821756,0.175915624620748,0.131466515925,0.176692458172497,0.0555756566936222,0.0113182299894271,0.0255030437549378,0.264426969089354,0.0430841731608029,0.264645347602508,0.18598737225815,0.150572063470104,0.139248330466439,0.402990075691192,0.192600524055429,0.377549710689456,0.402990075691192,0.161123570336088,0.663731615737202,0,0,0,0,1.5,2,"high",TRUE,"2011-06",2011-06-01
7,0.000341706712323476,0.0600327122111735,7.1585763603369,2.87052385624584,2.77345392982059,1.04473897300026,8.52601324440268,2.0804366496885,8.56450220244912,4.39317942414792,0.035309387942026,0.0395384177929074,0.0462317656073871,0.164633167005319,0.131891203638763,0.16642488239988,0.0450572282424869,0.0112168016206431,0.0197042111616194,0.275668722700238,0.0433361718799444,0.275361890010141,0.156795539279682,0.150061797295017,0.113171371590715,0.42875952658027,0.193058364768094,0.413729737454128,0.42875952658027,0.174759020657319,0.697366736075452,0,0,0,0,1.5,2,"high",TRUE,"2011-07",2011-07-01
8,0.000217085541145437,0.0644892639952268,7.08165775540029,2.88450728732465,3.0152706939187,1.25454981673759,8.55970639718242,1.47969090687859,8.25161794621471,4.60410321879425,0.0317772568008606,0.0353692249228987,0.0287505001559286,0.191675529422331,0.138016095743296,0.192421479357758,0.0435111599819328,0.00986862406851147,0.019358933778909,0.284608620882727,0.0470102587549683,0.28486197205575,0.162333885145378,0.142838076405696,0.118702770543681,0.419678708206119,0.196682269031176,0.4034654046353,0.419678708206119,0.165760100819591,0.679433692803141,0,0,0,0,1.5,2,"high",TRUE,"2011-08",2011-08-01
9,0.000353830562484144,0.042152406399203,6.75445326187438,3.0631127588998,2.7315282070662,1.12206986722795,7.68760331008646,2.07678012465864,8.38495233148558,4.75141272129523,0.0502374218596775,0.0439920697779086,0.0563192749538441,0.130757341098488,0.122838239624536,0.133117096442318,0.0587610288340469,0.0140932337006956,0.0294310645981605,0.232954799467836,0.0377915404175104,0.232380491412111,0.181148081017292,0.162806211018363,0.134990275861729,0.398365980067711,0.171537627311733,0.373430615750313,0.398365980067711,0.157508372072983,0.667876405104666,0,0,0,0,1.5,2,"high",TRUE,"2011-09",2011-09-01
10,0.000339891576062178,0.0243142347218625,5.9272092512219,3.27560658240686,3.06654414486652,1.3872735005788,6.50158190604017,1.95009793512596,7.32947257651923,5.14406315339642,0.0656513531646834,0.0684875018107733,0.086817714014553,0.104310869401068,0.0941887027468808,0.106188687450652,0.0679630007037636,0.0240777099579896,0.03524322050872,0.169516746801658,0.0238069205990534,0.169042374058212,0.20346301643231,0.198963398756253,0.154938464998416,0.353790716125276,0.154152857786331,0.324570366574323,0.353790716125276,0.104736043419485,0.599214104161329,0,0,0,0,1.5,2,"high",TRUE,"2011-10",2011-10-01
